REF_AREA,Geographic area,INDICATOR,Indicator,UNIT_MULTIPLIER,Unit multiplier,UNIT_MEASURE,Unit of measure,Value
DEU,Germany,FLOODS_COASTAL,Coastal floods,,,IDX,Index,7.3
DEU,Germany,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,5.5
DEU,Germany,HEATWAVES,Heatwaves,,,IDX,Index,5.2
DEU,Germany,MALARIA,Malaria,,,IDX,Index,0.0
DEU,Germany,MAT_HEALTH,Maternal health,,,IDX,Index,0
DEU,Germany,POLLUTION_AIR,Air pollution,,,IDX,Index,5.0
DEU,Germany,POLLUTION_LEAD,Lead pollution,,,IDX,Index,4.5
DEU,Germany,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,4.0
DEU,Germany,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,4.3
"DEU,Germany,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,1.8"
DEU,Germany,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,3
DEU,Germany,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,0.1
DEU,Germany,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
DEU,Germany,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,0.0
"DEU,Germany,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,0"
DEU,Germany,WATER_SCARCITY,Water scarcity,,,IDX,Index,0.0
DEU,Germany,ZIKA,Zika,,,IDX,Index,0.0
DJI,Djibouti,AEDES,Aedes,,,IDX,Index,8.2
DJI,Djibouti,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,5.8
DJI,Djibouti,CHLD_HEALTH,Child health,,,IDX,Index,5.9
DJI,Djibouti,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,7.7
DJI,Djibouti,CHLD_NUTRITION,Child nutrition,,,IDX,Index,9.7
DJI,Djibouti,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,6.9
DJI,Djibouti,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,4.3
DJI,Djibouti,COMM_ASSETS,Communication assets,,,IDX,Index,8.3
DJI,Djibouti,DENGUE,Dengue,,,IDX,Index,8.4
DJI,Djibouti,EDUCATION,Education,,,IDX,Index,7
DJI,Djibouti,FLOODS_COASTAL,Coastal floods,,,IDX,Index,0.0
DJI,Djibouti,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,2.8
DJI,Djibouti,HEATWAVES,Heatwaves,,,IDX,Index,5.8
DJI,Djibouti,MALARIA,Malaria,,,IDX,Index,5.3
DJI,Djibouti,MAT_HEALTH,Maternal health,,,IDX,Index,7.6
DJI,Djibouti,POLLUTION_AIR,Air pollution,,,IDX,Index,7.5
DJI,Djibouti,POLLUTION_LEAD,Lead pollution,,,IDX,Index,5
DJI,Djibouti,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,2.4
DJI,Djibouti,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,3.8
"DJI,Djibouti,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,7.9"
DJI,Djibouti,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,5.4
DJI,Djibouti,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,9.9
DJI,Djibouti,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
DJI,Djibouti,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,6.8
"DJI,Djibouti,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,5"
DJI,Djibouti,WATER_SCARCITY,Water scarcity,,,IDX,Index,3.2
DJI,Djibouti,ZIKA,Zika,,,IDX,Index,3.4
DNK,Denmark,AEDES,Aedes,,,IDX,Index,0.0
DNK,Denmark,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,2.4
DNK,Denmark,CHLD_HEALTH,Child health,,,IDX,Index,0.9
DNK,Denmark,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,1.7
DNK,Denmark,CHLD_NUTRITION,Child nutrition,,,IDX,Index,3.6
DNK,Denmark,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,0.9
DNK,Denmark,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,3.6
DNK,Denmark,COMM_ASSETS,Communication assets,,,IDX,Index,2.5
DNK,Denmark,DENGUE,Dengue,,,IDX,Index,0.0
DNK,Denmark,EDUCATION,Education,,,IDX,Index,0.2
DNK,Denmark,FLOODS_COASTAL,Coastal floods,,,IDX,Index,6.6
DNK,Denmark,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,3.2
DNK,Denmark,HEATWAVES,Heatwaves,,,IDX,Index,7.7
DNK,Denmark,MALARIA,Malaria,,,IDX,Index,0.0
DNK,Denmark,MAT_HEALTH,Maternal health,,,IDX,Index,0.5
DNK,Denmark,POLLUTION_AIR,Air pollution,,,IDX,Index,4.5
DNK,Denmark,POLLUTION_LEAD,Lead pollution,,,IDX,Index,3
DNK,Denmark,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,0.0
DNK,Denmark,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,1.6
"DNK,Denmark,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,1.6"
DNK,Denmark,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,2
DNK,Denmark,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,0.2
DNK,Denmark,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
DNK,Denmark,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,0.0
"DNK,Denmark,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,0"
DNK,Denmark,WATER_SCARCITY,Water scarcity,,,IDX,Index,0.0
DNK,Denmark,ZIKA,Zika,,,IDX,Index,0.0
DOM,Dominican Republic,AEDES,Aedes,,,IDX,Index,8.7
DOM,Dominican Republic,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,5.2
DOM,Dominican Republic,CHLD_HEALTH,Child health,,,IDX,Index,4.9
DOM,Dominican Republic,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,5.1
DOM,Dominican Republic,CHLD_NUTRITION,Child nutrition,,,IDX,Index,4.6
DOM,Dominican Republic,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,3.7
DOM,Dominican Republic,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,6.4
DOM,Dominican Republic,COMM_ASSETS,Communication assets,,,IDX,Index,3.9
DOM,Dominican Republic,DENGUE,Dengue,,,IDX,Index,9.2
DOM,Dominican Republic,EDUCATION,Education,,,IDX,Index,1.1
DOM,Dominican Republic,FLOODS_COASTAL,Coastal floods,,,IDX,Index,0.0
DOM,Dominican Republic,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,6.2
DOM,Dominican Republic,HEATWAVES,Heatwaves,,,IDX,Index,6.2
DOM,Dominican Republic,MALARIA,Malaria,,,IDX,Index,5.0
DOM,Dominican Republic,MAT_HEALTH,Maternal health,,,IDX,Index,5.7
DOM,Dominican Republic,POLLUTION_AIR,Air pollution,,,IDX,Index,3.0
DOM,Dominican Republic,POLLUTION_LEAD,Lead pollution,,,IDX,Index,9.1
DOM,Dominican Republic,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,7.8
DOM,Dominican Republic,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,8.5
"DOM,Dominican Republic,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,5.3"
DOM,Dominican Republic,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,5.9
DOM,Dominican Republic,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,6
DOM,Dominican Republic,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,9.7
DOM,Dominican Republic,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,8.2
"DOM,Dominican Republic,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,3.4"
DOM,Dominican Republic,WATER_SCARCITY,Water scarcity,,,IDX,Index,0.0
DOM,Dominican Republic,ZIKA,Zika,,,IDX,Index,8.5
DZA,Algeria,AEDES,Aedes,,,IDX,Index,8.0
DZA,Algeria,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,4.6
DZA,Algeria,CHLD_HEALTH,Child health,,,IDX,Index,3.1
DZA,Algeria,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,4
DZA,Algeria,CHLD_NUTRITION,Child nutrition,,,IDX,Index,3.8
DZA,Algeria,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,2.6
DZA,Algeria,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,6.2
DZA,Algeria,COMM_ASSETS,Communication assets,,,IDX,Index,3.0
DZA,Algeria,DENGUE,Dengue,,,IDX,Index,5.5
DZA,Algeria,EDUCATION,Education,,,IDX,Index,0.6
DZA,Algeria,FLOODS_COASTAL,Coastal floods,,,IDX,Index,0.0
DZA,Algeria,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,5.9
DZA,Algeria,HEATWAVES,Heatwaves,,,IDX,Index,5.1
DZA,Algeria,MALARIA,Malaria,,,IDX,Index,0.8
DZA,Algeria,MAT_HEALTH,Maternal health,,,IDX,Index,5
DZA,Algeria,POLLUTION_AIR,Air pollution,,,IDX,Index,7.7
DZA,Algeria,POLLUTION_LEAD,Lead pollution,,,IDX,Index,7.5
DZA,Algeria,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,8.6
DZA,Algeria,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,8.1
"DZA,Algeria,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,4.2"
DZA,Algeria,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,x
DZA,Algeria,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,5.4
DZA,Algeria,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
DZA,Algeria,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,5.5
"DZA,Algeria,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,1.5"
DZA,Algeria,WATER_SCARCITY,Water scarcity,,,IDX,Index,9.5
DZA,Algeria,ZIKA,Zika,,,IDX,Index,5.7
ECU,Ecuador,AEDES,Aedes,,,IDX,Index,7.1
ECU,Ecuador,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,5.4
ECU,Ecuador,CHLD_HEALTH,Child health,,,IDX,Index,3.2
ECU,Ecuador,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,4.9
ECU,Ecuador,CHLD_NUTRITION,Child nutrition,,,IDX,Index,7.1
ECU,Ecuador,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,3.5
ECU,Ecuador,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,6.9
ECU,Ecuador,COMM_ASSETS,Communication assets,,,IDX,Index,3.7
ECU,Ecuador,DENGUE,Dengue,,,IDX,Index,7.9
ECU,Ecuador,EDUCATION,Education,,,IDX,Index,1
ECU,Ecuador,FLOODS_COASTAL,Coastal floods,,,IDX,Index,10.0
ECU,Ecuador,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,7.3
ECU,Ecuador,HEATWAVES,Heatwaves,,,IDX,Index,5.3
ECU,Ecuador,MALARIA,Malaria,,,IDX,Index,6.9
ECU,Ecuador,MAT_HEALTH,Maternal health,,,IDX,Index,4.4
ECU,Ecuador,POLLUTION_AIR,Air pollution,,,IDX,Index,6.4
ECU,Ecuador,POLLUTION_LEAD,Lead pollution,,,IDX,Index,5.7
ECU,Ecuador,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,8.9
ECU,Ecuador,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,7.7
"ECU,Ecuador,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,5.9"
ECU,Ecuador,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,6.6
ECU,Ecuador,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,7.5
ECU,Ecuador,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
ECU,Ecuador,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,7.3
"ECU,Ecuador,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,2"
ECU,Ecuador,WATER_SCARCITY,Water scarcity,,,IDX,Index,5.3
ECU,Ecuador,ZIKA,Zika,,,IDX,Index,7.1
EGY,Egypt,AEDES,Aedes,,,IDX,Index,6.4
EGY,Egypt,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,5.6
EGY,Egypt,CHLD_HEALTH,Child health,,,IDX,Index,2.1
EGY,Egypt,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,4.7
EGY,Egypt,CHLD_NUTRITION,Child nutrition,,,IDX,Index,6.4
EGY,Egypt,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,3.0
EGY,Egypt,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,7.3
EGY,Egypt,COMM_ASSETS,Communication assets,,,IDX,Index,3.5
EGY,Egypt,DENGUE,Dengue,,,IDX,Index,6.2
EGY,Egypt,EDUCATION,Education,,,IDX,Index,2.3
EGY,Egypt,FLOODS_COASTAL,Coastal floods,,,IDX,Index,10.0
EGY,Egypt,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,0.1
EGY,Egypt,HEATWAVES,Heatwaves,,,IDX,Index,7.2
EGY,Egypt,MALARIA,Malaria,,,IDX,Index,0.0
EGY,Egypt,MAT_HEALTH,Maternal health,,,IDX,Index,5.7
EGY,Egypt,POLLUTION_AIR,Air pollution,,,IDX,Index,9.4
EGY,Egypt,POLLUTION_LEAD,Lead pollution,,,IDX,Index,10
EGY,Egypt,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,9.5
EGY,Egypt,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,9.8
"EGY,Egypt,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,4.3"
EGY,Egypt,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,4.6
EGY,Egypt,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,4.8
EGY,Egypt,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
EGY,Egypt,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,4.2
"EGY,Egypt,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,0.7"
EGY,Egypt,WATER_SCARCITY,Water scarcity,,,IDX,Index,6.2
EGY,Egypt,ZIKA,Zika,,,IDX,Index,2.4
ERI,Eritrea,AEDES,Aedes,,,IDX,Index,7.9
ERI,Eritrea,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,7.1
ERI,Eritrea,CHLD_HEALTH,Child health,,,IDX,Index,3.6
ERI,Eritrea,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,7.6
ERI,Eritrea,CHLD_NUTRITION,Child nutrition,,,IDX,Index,10
ERI,Eritrea,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,8.3
ERI,Eritrea,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,5.5
ERI,Eritrea,COMM_ASSETS,Communication assets,,,IDX,Index,9.3
ERI,Eritrea,DENGUE,Dengue,,,IDX,Index,6.5
ERI,Eritrea,EDUCATION,Education,,,IDX,Index,6.1
ERI,Eritrea,FLOODS_COASTAL,Coastal floods,,,IDX,Index,0.0
ERI,Eritrea,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,4.2
ERI,Eritrea,HEATWAVES,Heatwaves,,,IDX,Index,5.2
ERI,Eritrea,MALARIA,Malaria,,,IDX,Index,7.4
ERI,Eritrea,MAT_HEALTH,Maternal health,,,IDX,Index,9.2
ERI,Eritrea,POLLUTION_AIR,Air pollution,,,IDX,Index,8.0
ERI,Eritrea,POLLUTION_LEAD,Lead pollution,,,IDX,Index,7.6
ERI,Eritrea,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,0.0
ERI,Eritrea,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,4.9
"ERI,Eritrea,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,9.3"
ERI,Eritrea,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,x
ERI,Eritrea,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,x
ERI,Eritrea,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
ERI,Eritrea,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,6.6
"ERI,Eritrea,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,10"
ERI,Eritrea,WATER_SCARCITY,Water scarcity,,,IDX,Index,8.8
ERI,Eritrea,ZIKA,Zika,,,IDX,Index,3.3
ESP,Spain,AEDES,Aedes,,,IDX,Index,6.0
ESP,Spain,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,3.7
ESP,Spain,CHLD_HEALTH,Child health,,,IDX,Index,1
ESP,Spain,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2.9
ESP,Spain,CHLD_NUTRITION,Child nutrition,,,IDX,Index,5.5
ESP,Spain,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,1.7
ESP,Spain,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,5.3
ESP,Spain,COMM_ASSETS,Communication assets,,,IDX,Index,2.7
ESP,Spain,DENGUE,Dengue,,,IDX,Index,4.1
ESP,Spain,EDUCATION,Education,,,IDX,Index,1.3
ESP,Spain,FLOODS_COASTAL,Coastal floods,,,IDX,Index,0.0
ESP,Spain,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,5.0
ESP,Spain,HEATWAVES,Heatwaves,,,IDX,Index,7.5
ESP,Spain,MALARIA,Malaria,,,IDX,Index,0.0
ESP,Spain,MAT_HEALTH,Maternal health,,,IDX,Index,2.1
ESP,Spain,POLLUTION_AIR,Air pollution,,,IDX,Index,2.8
ESP,Spain,POLLUTION_LEAD,Lead pollution,,,IDX,Index,4.4
ESP,Spain,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,8.4
ESP,Spain,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,6.8
"ESP,Spain,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,2.4"
ESP,Spain,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,4
ESP,Spain,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,0.6
ESP,Spain,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
ESP,Spain,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,3.5
"ESP,Spain,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,0"
ESP,Spain,WATER_SCARCITY,Water scarcity,,,IDX,Index,9.3
ESP,Spain,ZIKA,Zika,,,IDX,Index,2.5
EST,Estonia,AEDES,Aedes,,,IDX,Index,0.0
EST,Estonia,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,1.7
EST,Estonia,CHLD_HEALTH,Child health,,,IDX,Index,1.5
EST,Estonia,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,1.5
EST,Estonia,CHLD_NUTRITION,Child nutrition,,,IDX,Index,1.6
EST,Estonia,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,1.2
EST,Estonia,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,2.1
EST,Estonia,COMM_ASSETS,Communication assets,,,IDX,Index,1.8
EST,Estonia,DENGUE,Dengue,,,IDX,Index,0.0
EST,Estonia,EDUCATION,Education,,,IDX,Index,1.2
EST,Estonia,FLOODS_COASTAL,Coastal floods,,,IDX,Index,0.0
EST,Estonia,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,5.4
EST,Estonia,HEATWAVES,Heatwaves,,,IDX,Index,5.1
EST,Estonia,MALARIA,Malaria,,,IDX,Index,0.0
EST,Estonia,MAT_HEALTH,Maternal health,,,IDX,Index,1.3
EST,Estonia,POLLUTION_AIR,Air pollution,,,IDX,Index,2.1
EST,Estonia,POLLUTION_LEAD,Lead pollution,,,IDX,Index,2.7
EST,Estonia,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,0.5
EST,Estonia,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,1.7
"EST,Estonia,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,2.1"
EST,Estonia,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,3.3
EST,Estonia,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,1.3
EST,Estonia,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
EST,Estonia,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,0.0
"EST,Estonia,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,0.1"
EST,Estonia,WATER_SCARCITY,Water scarcity,,,IDX,Index,0.0
EST,Estonia,ZIKA,Zika,,,IDX,Index,0.0
ETH,Ethiopia,AEDES,Aedes,,,IDX,Index,8.2
ETH,Ethiopia,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,7.6
ETH,Ethiopia,CHLD_HEALTH,Child health,,,IDX,Index,7.4
ETH,Ethiopia,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,8.7
ETH,Ethiopia,CHLD_NUTRITION,Child nutrition,,,IDX,Index,10
ETH,Ethiopia,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,8.1
ETH,Ethiopia,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,7.1
ETH,Ethiopia,COMM_ASSETS,Communication assets,,,IDX,Index,9.7
ETH,Ethiopia,DENGUE,Dengue,,,IDX,Index,8.2
ETH,Ethiopia,EDUCATION,Education,,,IDX,Index,6.6
ETH,Ethiopia,FLOODS_COASTAL,Coastal floods,,,IDX,Index,0.0
ETH,Ethiopia,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,6.6
ETH,Ethiopia,HEATWAVES,Heatwaves,,,IDX,Index,9.3
ETH,Ethiopia,MALARIA,Malaria,,,IDX,Index,8.2
ETH,Ethiopia,MAT_HEALTH,Maternal health,,,IDX,Index,8.8
ETH,Ethiopia,POLLUTION_AIR,Air pollution,,,IDX,Index,8.1
ETH,Ethiopia,POLLUTION_LEAD,Lead pollution,,,IDX,Index,9.5
ETH,Ethiopia,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,8.1
ETH,Ethiopia,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,8.9
"ETH,Ethiopia,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,7.1"
ETH,Ethiopia,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,4.4
ETH,Ethiopia,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,7.1
ETH,Ethiopia,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
ETH,Ethiopia,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,8.0
"ETH,Ethiopia,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,10"
ETH,Ethiopia,WATER_SCARCITY,Water scarcity,,,IDX,Index,8.0
ETH,Ethiopia,ZIKA,Zika,,,IDX,Index,7.4
FIN,Finland,AEDES,Aedes,,,IDX,Index,0.0
FIN,Finland,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,1.7
FIN,Finland,CHLD_HEALTH,Child health,,,IDX,Index,1.3
FIN,Finland,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,1.3
FIN,Finland,CHLD_NUTRITION,Child nutrition,,,IDX,Index,2.7
FIN,Finland,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,0.7
FIN,Finland,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,2.6
FIN,Finland,COMM_ASSETS,Communication assets,,,IDX,Index,2.4
FIN,Finland,DENGUE,Dengue,,,IDX,Index,0.0
FIN,Finland,EDUCATION,Education,,,IDX,Index,0.2
FIN,Finland,FLOODS_COASTAL,Coastal floods,,,IDX,Index,0.0
FIN,Finland,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,0.1
FIN,Finland,HEATWAVES,Heatwaves,,,IDX,Index,8.7
FIN,Finland,MALARIA,Malaria,,,IDX,Index,0.0
FIN,Finland,MAT_HEALTH,Maternal health,,,IDX,Index,0
FIN,Finland,POLLUTION_AIR,Air pollution,,,IDX,Index,0.0
FIN,Finland,POLLUTION_LEAD,Lead pollution,,,IDX,Index,2.4
FIN,Finland,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,2.0
FIN,Finland,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,2.2
"FIN,Finland,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,1.4"
FIN,Finland,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,1.7
FIN,Finland,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,0.2
FIN,Finland,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
FIN,Finland,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,0.0
"FIN,Finland,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,0"
FIN,Finland,WATER_SCARCITY,Water scarcity,,,IDX,Index,3.6
FIN,Finland,ZIKA,Zika,,,IDX,Index,0.0
FRA,France,AEDES,Aedes,,,IDX,Index,0.0
FRA,France,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,4.1
FRA,France,CHLD_HEALTH,Child health,,,IDX,Index,1.5
FRA,France,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2.2
FRA,France,CHLD_NUTRITION,Child nutrition,,,IDX,Index,5
FRA,France,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,1.2
FRA,France,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,6.1
FRA,France,COMM_ASSETS,Communication assets,,,IDX,Index,3.0
FRA,France,DENGUE,Dengue,,,IDX,Index,1.9
FRA,France,EDUCATION,Education,,,IDX,Index,0.5
FRA,France,FLOODS_COASTAL,Coastal floods,,,IDX,Index,9.4
FRA,France,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,6.6
FRA,France,HEATWAVES,Heatwaves,,,IDX,Index,7.9
